OrderID,Date,CustomerID,State,Category,Sub-Category,Quantity,Sales,Profit
O20044,2024-01-26,C1067,Georgia,Electronics,Accessories,1,26.77,3.48
O20045,2024-02-17,C1000,New York,Toys,Board Games,2,56.54,3.6
O20046,2024-05-13,C1369,California,Home,Bedding,5,472.71,80.18
O20047,2024-05-14,C1250,New York,Home,Bedding,1,80.24,19.46
O20048,2023-04-18,C1495,New York,Home,Furniture,5,1096.78,64.91
O20049,2023-05-12,C1100,California,Home,Furniture,1,225.45,41.02
O20050,2023-07-11,C1147,Florida,Sports,Accessories,1,26.67,5.47
O20051,2023-07-15,C1428,New York,Electronics,Laptop,1,905.97,83.91
O20052,2023-10-24,C1277,Pennsylvania,Electronics,Laptop,5,5622.55,588.2
O20053,2024-09-18,C1418,Pennsylvania,Electronics,Laptop,4,3056.16,276.02
O20054,2023-01-17,C1058,California,Electronics,Laptop,1,890.11,97.45
O20055,2023-02-22,C1498,North Carolina,Electronics,Accessories,3,96.22,6.93
O20056,2023-11-01,C1189,Texas,Toys,Puzzles,2,32.41,4.02
O20057,2024-08-07,C1097,Florida,Clothing,Pants,4,147.86,18.3
O20058,2024-09-10,C1231,Florida,Sports,Outdoor,4,349.7,73.95
O20059,2023-07-03,C1403,Georgia,Electronics,Audio,5,637.8,134.06
O20060,2023-01-14,C1145,California,Clothing,Shoes,4,223.75,46.84
O20061,2023-02-16,C1130,Florida,Sports,Fitness,5,278.98,45.59
O20062,2023-11-08,C1220,Pennsylvania,Beauty,Makeup,5,144.99,16.7
O20063,2024-06-17,C1492,Texas,Clothing,Jackets,3,266.85,35.28
O20064,2024-10-11,C1315,Pennsylvania,Home,Bedding,1,109.27,12.41
O20065,2024-10-21,C1408,Michigan,Beauty,Hair,4,80.01,13.31
O20066,2024-11-04,C1475,North Carolina,Home,Decor,1,42.36,10.06
O20067,2023-11-15,C1164,California,Electronics,Laptop,1,892.93,95.45
O20068,2024-03-25,C1167,Texas,Beauty,Skincare,1,24.85,3.52
O20069,2024-10-14,C1036,New York,Home,Furniture,5,1210.72,219.17
O20070,2023-03-01,C1293,New York,Electronics,Audio,1,146.85,32.15
O20071,2023-09-04,C1225,Texas,Home,Furniture,4,909.48,91.55
O20072,2024-02-14,C1026,Texas,Clothing,Shoes,5,293.88,31.17
O20073,2024-05-11,C1471,North Carolina,Beauty,Makeup,4,164.9,37.44
O20074,2024-05-23,C1150,Michigan,Electronics,Laptop,5,5253.83,347.02
O20075,2023-04-29,C1371,California,Beauty,Hair,2,41.84,7.16
O20076,2023-07-22,C1253,New York,Home,Kitchen,2,129.62,28.79
O20077,2024-05-24,C1253,New York,Clothing,Jackets,2,185.51,43.47
O20078,2024-07-16,C1155,Texas,Electronics,Laptop,2,1883.31,98.94
O20079,2024-07-16,C1174,Pennsylvania,Toys,Action Figures,5,119.21,14.77
O20080,2024-08-16,C1361,Pennsylvania,Sports,Outdoor,1,88.06,8.93
O20081,2023-01-08,C1116,Georgia,Clothing,Pants,3,117.34,19.2
O20082,2024-06-11,C1230,Ohio,Electronics,Accessories,3,95.87,16.93
O20083,2024-06-30,C1204,Illinois,Home,Decor,2,$65.95,
O20084,2023-07-13,C1074,Pennsylvania,Beauty,Skincare,1,25.66,3.91
O20085,2023-11-24,C1213,Texas,Electronics,Accessories,4,99.45,15.94
O20086,2024-10-04,C1463,Illinois,Home,Furniture,1,242.25,32.19
O20087,2023-01-07,C1136,Florida,Home,Bedding,4,376.9,29.98
O20088,2023-12-03,C1424,California,Clothing,Shirts,3,95.26,10.54
O20089,2024-08-25,C1202,Texas,Clothing,Pants,1,42.5,4.22
O20090,2024-10-12,C1442,New York,Electronics,Phone,1,514.36,108.14
O20091,2024-11-06,C1240,Michigan,Toys,Dolls,3,73.88,11.76
O20092,2023-12-06,C1131,Texas,Home,Kitchen,1,56.78,6.2
O20093,2023-08-23,C1319,Texas,Home,Furniture,4,1019.61,150.72
O20094,2023-08-29,C1443,New York,Clothing,Shoes,1,57.52,5.39
O20095,2024-04-21,C1038,Pennsylvania,Clothing,Shoes,4,228.31,19.87
O20096,2023-07-29,C1109,California,Beauty,Hair,2,44.92,9.97
O20097,2024-07-13,C1248,North Carolina,Clothing,Shirts,1,21.6,5.16
O20098,2024-04-05,C1385,Georgia,Home,Furniture,4,962.51,63.53
O20099,2023-01-18,C1119,Illinois,Home,Bedding,3,242.15,49.15
O20100,2023-05-03,C1114,Pennsylvania,Clothing,Pants,2,81.41,11.45
O20101,2023-07-10,C1370,California,Clothing,Pants,1,45.12,5.77
O20102,2023-09-17,C1160,New York,Electronics,Laptop,4,3788.99,711.88
O20103,2024-05-06,C1279,Ohio,Electronics,Laptop,1,870.18,89.85
O20104,2023-02-08,C1072,California,Toys,Action Figures,4,91.28,4.94
O20105,2023-03-20,C1323,Texas,Electronics,Phone,1,566.2,52.54
O20106,2024-03-19,C1484,Illinois,Electronics,Audio,2,241.42,21.0
O20107,2024-10-31,C1064,Texas,Beauty,Makeup,2,86.73,4.93
O20108,2023-04-29,C1191,Michigan,Electronics,Phone,1,531.45,60.73
O20109,2023-08-21,C1056,California,Home,Furniture,1,264.72,38.36
O20110,2024-01-09,C1462,Ohio,Clothing,Shirts,5,102.45,20.2
O20111,2024-02-10,C1103,Florida,Electronics,Phone,1,373.72,43.03
O20112,2024-03-22,C1092,Ohio,Clothing,Pants,1,40.38,3.59
O20113,2024-04-08,C1243,New York,Electronics,Laptop,2,2069.26,198.91
O20114,2024-05-08,C1041,Florida,Beauty,Skincare,1,31.48,7.18
O20115,2024-08-25,C1376,Georgia,Home,Decor,3,119.98,10.91
O20116,2023-02-08,C1275,Florida,Electronics,Audio,1,112.56,25.42
O20117,2023-02-11,C1063,New York,Electronics,Laptop,5,4555.68,635.15
O20118,2023-11-25,C1496,Illinois,Clothing,Pants,4,160.4,38.0
O20119,2024-01-27,C1331,Ohio,Electronics,Accessories,2,43.79,5.76
O20120,2023-05-09,C1286,Florida,Clothing,Pants,3,152.2,13.02
O20121,2023-02-14,C1405,Michigan,Home,Decor,4,165.15,26.39
O20122,2023-03-23,C1078,New York,Beauty,Hair,3,68.36,11.45
O20123,2023-07-13,C1172,Florida,Clothing,Shirts,2,59.64,10.56
O20124,2023-07-13,C1447,Ohio,Toys,Puzzles,5,69.75,9.23
O20125,2023-12-24,C1257,Pennsylvania,Beauty,Hair,2,44.77,2.67
O20126,2024-06-10,C1270,Georgia,Electronics,Audio,3,334.66,58.68
O20127,2024-07-31,C1050,North Carolina,Beauty,Skincare,3,92.0,21.77
O20128,2023-01-25,C1423,Florida,Toys,Puzzles,2,22.16,5.35
O20129,2023-03-12,C1259,California,Clothing,Shirts,1,24.44,4.14
O20130,2023-04-13,C1079,California,Sports,Fitness,2,107.86,5.82
O20131,2023-10-19,C1296,Ohio,Clothing,Jackets,5,324.75,23.12
O20132,2023-12-29,C1473,Michigan,Clothing,Jackets,2,158.71,34.41
O20133,2024-06-07,C1026,Texas,Toys,Board Games,4,107.26,23.16
O20134,2024-09-17,C1297,Texas,Clothing,Pants,1,42.03,10.05
O20135,2024-11-04,C1424,California,Clothing,Shirts,4,125.12,20.36
O20136,2023-01-04,C1219,Georgia,Electronics,Accessories,2,54.4,12.12
O20137,2023-04-26,C1416,New York,Toys,Board Games,1,28.81,6.19
O20138,2023-11-17,C1060,New York,Toys,Action Figures,4,87.97,14.77
O20139,2024-02-16,C1482,Florida,Home,Furniture,4,899.51,185.95
O20140,2024-01-09,C1403,Georgia,Sports,Accessories,1,26.78,
O20141,2024-08-26,C1414,Pennsylvania,Clothing,Shirts,1,23.33,4.15
O20142,2023-04-07,C1326,Illinois,Electronics,Phone,3,1698.2,408.74
O20143,2023-12-18,C1184,Texas,Toys,Dolls,1,18.37,1.51
O20144,2023-07-20,C1089,Florida,Toys,Puzzles,2,26.19,5.21
O20145,2024-09-21,C1420,Ohio,Electronics,Accessories,5,184.44,21.06
O20146,2023-06-11,C1411,North Carolina,Electronics,Phone,3,802.69,171.31
O20147,2024-02-15,C1215,Texas,Beauty,Hair,1,19.62,3.72
O20148,2024-03-14,C1171,California,Sports,Outdoor,5,491.8,115.69
O20149,2024-04-02,C1066,California,Home,Decor,3,135.08,25.99
O20150,2024-09-02,C1143,New York,Clothing,Shoes,2,134.39,17.75
O20151,2024-09-05,C1437,Georgia,Sports,Accessories,5,176.37,9.2
O20152,2023-02-02,C1201,California,Beauty,Makeup,1,30.02,6.26
O20153,2023-03-16,C1103,Florida,Home,Kitchen,1,52.2,6.87
O20154,2023-06-01,C1394,New York,Beauty,Hair,2,50.28,9.26
O20155,2024-02-25,C1164,California,Beauty,Hair,3,57.63,4.09
O20156,2023-08-19,C1024,Florida,Sports,Outdoor,5,,65.58
O20157,2023-09-01,C1379,Texas,Beauty,Skincare,2,63.77,8.74
O20158,2024-01-17,C1394,New York,Home,Bedding,3,262.26,61.35
O20159,2023-03-08,C1381,Pennsylvania,Home,Kitchen,4,242.92,46.5
O20160,2023-03-24,C1490,Florida,Clothing,Shoes,4,154.27,11.46
O20161,2024-01-31,C1032,California,Home,Furniture,3,452.08,74.97
O20162,2024-04-20,C1261,North Carolina,Beauty,Skincare,1,31.36,7.28
O20163,2024-06-29,C1162,Pennsylvania,Sports,Fitness,1,66.82,14.03
O20164,2024-06-12,C1002,Ohio,Clothing,Jackets,4,298.07,39.82
O20165,2024-07-22,C1332,California,Home,Bedding,1,95.27,22.96
O20166,2023-03-23,C1283,California,Clothing,Pants,1,35.33,3.66
O20167,2024-01-27,C1459,California,Home,Kitchen,3,172.83,21.61
O20168,2024-02-03,C1175,Texas,Home,Kitchen,3,167.88,33.57
O20169,2024-08-21,C1455,Florida,Electronics,Laptop,1,1019.54,98.47
O20170,2024-03-19,C1445,Michigan,Home,Decor,3,75.41,11.54
O20171,2024-04-12,C1402,Florida,Electronics,Audio,5,541.74,106.05
O20172,2023-06-25,C1194,New York,Electronics,Phone,4,2326.93,416.04
O20173,2023-12-04,C1210,Illinois,Beauty,Hair,5,87.44,7.09
O20174,2024-05-25,C1090,California,Clothing,Pants,5,203.6,35.82
O20175,2024-11-12,C1326,Illinois,Clothing,Pants,1,50.02,8.23
O20176,2023-02-14,C1477,Illinois,Electronics,Accessories,1,30.71,4.96
O20177,2024-06-21,C1075,Ohio,Electronics,Phone,5,3302.69,710.77
O20178,2024-01-03,C1001,North Carolina,Toys,Dolls,5,151.25,13.13
O20179,2024-06-28,C1013,Texas,Home,Bedding,2,162.41,32.53
O20180,2023-04-30,C1457,Florida,Beauty,Skincare,2,48.62,9.83
O20181,2023-10-18,C1242,Michigan,Clothing,Jackets,4,291.01,56.61
O20182,2024-02-14,C1384,Ohio,Clothing,Pants,5,211.4,31.96
O20183,2024-08-26,C1129,Florida,Clothing,Pants,3,126.23,16.3
O20184,2023-02-18,C1053,Michigan,Toys,Puzzles,2,32.99,4.25
O20185,2023-08-01,C1285,California,Home,Kitchen,1,51.67,10.17
O20186,2024-05-03,C1033,Michigan,Beauty,Skincare,5,132.49,19.82
O20187,2024-08-29,C1449,California,Home,Bedding,3,292.62,34.44
O20188,2024-09-05,C1289,Illinois,Home,Bedding,3,350.63,61.39
O20189,2024-10-08,C1364,Michigan,Toys,Board Games,3,75.19,16.35
O20190,2023-02-20,C1131,Texas,Sports,Fitness,1,69.24,4.31
O20191,2023-10-10,C1096,Florida,Clothing,Jackets,2,151.36,37.0
O20192,2024-03-20,C1078,New York,Electronics,Audio,3,367.85,25.5
O20193,2024-09-25,C1390,North Carolina,Home,Decor,2,57.43,8.75
O20194,2023-02-20,C1389,Georgia,Home,Kitchen,4,243.17,39.4
O20195,2023-08-11,C1352,Pennsylvania,Sports,Outdoor,1,94.65,7.35
O20196,2023-10-22,C1210,Illinois,Clothing,Shoes,2,90.77,21.16
O20197,2024-02-14,C1351,Georgia,Electronics,Audio,2,275.86,39.8
O20198,2024-10-16,C1307,New York,Sports,Outdoor,3,196.98,15.49
O20199,2023-11-21,C1482,Florida,Beauty,Skincare,3,93.48,17.98
O20200,2024-03-02,C1157,Ohio,Electronics,Laptop,1,965.99,176.47
O20201,2024-03-10,C1406,New York,Beauty,Makeup,2,73.94,17.94
O20202,2024-04-11,C1040,California,Clothing,Pants,5,190.0,26.28
O20203,2024-04-15,C1456,California,Clothing,Pants,3,131.92,13.66
O20204,2024-10-22,C1407,California,Beauty,Skincare,3,73.03,4.53
O20205,2023-02-03,C1467,Georgia,Home,Decor,4,159.21,31.3
O20206,2023-06-24,C1147,Florida,Electronics,Laptop,1,837.22,145.22
O20207,2023-10-24,C1321,Ohio,Clothing,Pants,2,83.86,20.51
O20208,2023-11-09,C1442,New York,Toys,Dolls,2,47.36,9.11
O20209,2024-02-10,C1061,Texas,Electronics,Audio,2,295.16,69.84
O20210,2024-03-25,C1250,New York,Home,Furniture,3,$799.35,198.49
O20211,2024-07-01,C1002,Ohio,Toys,Action Figures,1,21.96,2.98
O20212,2024-08-11,C1361,Pennsylvania,Clothing,Shirts,2,55.91,4.48
O20213,2023-08-07,C1405,Michigan,Toys,Dolls,5,120.48,10.74
O20214,2023-09-11,C1277,Pennsylvania,Beauty,Makeup,4,146.07,16.6
O20215,2023-05-17,C1301,Illinois,Home,Bedding,4,368.93,56.0
O20216,2023-08-21,C1232,Illinois,Clothing,Shoes,2,131.61,9.8
O20217,2024-07-24,C1052,Michigan,Clothing,Shirts,3,69.99,7.72
O20218,2023-02-18,C1230,Ohio,Home,Furniture,4,894.01,99.73
O20219,2023-10-15,C1354,California,Beauty,Skincare,4,141.27,7.18
O20220,2024-07-04,C1054,Illinois,Clothing,Shoes,4,268.32,32.42
O20221,2024-11-07,C1267,Pennsylvania,Clothing,Pants,4,139.86,10.24
O20222,2023-04-29,C1217,Ohio,Clothing,Pants,2,102.83,13.98
O20223,2023-09-05,C1155,Texas,Home,Kitchen,1,54.86,4.9
O20224,2024-02-12,C1270,Georgia,Electronics,Phone,1,508.9,109.12
O20225,2024-02-17,C1412,North Carolina,Beauty,Makeup,3,123.41,8.16
O20226,2024-05-18,C1239,Texas,Clothing,Jackets,5,469.55,104.77
O20227,2024-11-02,C1489,Michigan,Toys,Action Figures,1,17.88,2.97
O20228,2023-05-16,C1400,California,Home,Decor,5,188.58,26.73
O20229,2024-02-23,C1497,California,Home,Decor,1,33.37,5.34
O20230,2024-09-02,C1040,California,Electronics,Laptop,1,956.64,119.79
O20231,2023-03-24,C1433,California,Toys,Action Figures,3,58.87,4.45
O20232,2023-05-23,C1271,Georgia,Electronics,Audio,4,451.0,91.63
O20233,2023-08-11,C1449,California,Electronics,Audio,3,308.03,72.57
O20234,2023-11-06,C1141,Texas,Home,Furniture,1,294.44,70.67
O20235,2024-02-27,C1109,California,Toys,Puzzles,4,53.31,9.82
O20236,2023-02-17,C1465,New York,Electronics,Accessories,4,146.43,19.34
O20237,2023-04-07,C1208,California,Electronics,Accessories,4,114.71,16.71
O20238,2024-01-01,C1267,Pennsylvania,Beauty,Hair,5,107.27,19.46
O20239,2024-04-04,C1181,California,Beauty,Hair,1,24.62,5.28
O20240,2024-09-16,C1385,Georgia,Electronics,Accessories,2,56.12,7.01
O20241,2023-04-16,C1336,Georgia,Home,Kitchen,3,192.74,44.98
O20242,2023-07-09,C1433,California,Clothing,Pants,5,214.82,24.67
O20243,2023-11-15,C1453,Michigan,Home,Kitchen,3,162.0,25.3
O20244,2024-02-19,C1259,California,Beauty,Hair,2,41.33,10.01
O20245,2024-03-03,C1026,Texas,Electronics,Audio,4,533.62,126.81
O20246,2024-06-14,C1132,California,Toys,Board Games,2,75.31,14.24
O20247,2024-07-03,C1135,New York,Home,Kitchen,3,168.8,19.4
O20248,2024-10-04,C1096,Florida,Home,Kitchen,2,126.23,11.84
O20249,2023-04-15,C1199,Ohio,Home,Bedding,1,88.28,5.83
O20250,2023-09-18,C1365,New York,Sports,Accessories,2,61.74,11.84
O20251,2024-03-31,C1382,Pennsylvania,Electronics,Audio,1,109.35,16.48
O20252,2024-04-18,C1213,Texas,Electronics,Phone,2,974.64,160.29
O20253,2024-10-26,C1091,Ohio,Electronics,Audio,1,147.33,21.29
O20254,2023-02-01,C1342,Texas,Sports,Outdoor,1,81.53,11.95
O20255,2023-05-04,C1205,California,Toys,Board Games,2,60.68,9.97
O20256,2024-04-19,C1387,Texas,Home,Decor,5,152.62,35.54
O20257,2024-04-20,C1167,Texas,Electronics,Audio,4,558.55,31.21
O20258,2024-09-27,C1246,Florida,Beauty,Makeup,4,157.79,33.19
O20259,2023-04-11,C1035,Georgia,Beauty,Skincare,4,122.29,15.67
O20260,2023-07-11,C1109,California,Home,Bedding,1,115.67,23.02
O20261,2023-08-28,C1355,Pennsylvania,Clothing,Shoes,4,220.83,52.93
O20262,2023-10-15,C1303,Pennsylvania,Electronics,Laptop,1,759.29,84.48
O20263,2024-11-06,C1203,Michigan,Home,Decor,5,172.51,11.72
O20264,2023-03-22,C1049,Texas,Toys,Board Games,2,52.38,5.05
O20265,2023-06-02,C1479,Florida,Electronics,Accessories,2,62.17,5.87
O20266,2023-09-17,C1033,Michigan,Home,Decor,1,35.38,7.02
O20267,2024-04-04,C1074,Pennsylvania,Clothing,Shirts,1,29.32,1.83
O20268,2024-05-02,C1022,New York,Toys,Puzzles,5,69.87,4.21
O20269,2024-08-17,C1201,California,Home,Bedding,4,377.93,71.32
O20270,2023-02-24,C1167,Texas,Electronics,Laptop,5,4625.03,746.22
O20271,2024-08-11,C1204,Illinois,Home,Kitchen,2,134.99,18.03
O20272,2024-10-02,C1398,Ohio,Clothing,Pants,2,66.44,10.97
O20273,2023-01-22,C1259,California,Electronics,Audio,4,415.36,81.85
O20274,2023-04-17,C1054,Illinois,Beauty,Makeup,2,63.92,4.52
O20275,2023-10-02,C1187,Illinois,Electronics,Audio,1,100.48,16.14
O20276,2023-12-20,C1231,Florida,Clothing,Jackets,2,174.7,37.54
O20277,2024-05-06,C1438,Pennsylvania,Electronics,Phone,3,1639.93,200.87
O20278,2023-03-07,C1007,Georgia,Electronics,Accessories,4,139.66,28.3
O20279,2023-10-13,C1251,New York,Clothing,Jackets,4,313.0,68.57
O20280,2024-01-27,C1473,Michigan,Electronics,Accessories,4,111.68,23.92
O20281,2023-02-20,C1158,Texas,Home,Kitchen,3,154.43,27.81
O20282,2023-07-17,C1323,Texas,Electronics,Accessories,5,179.33,34.69
O20283,2023-12-04,C1049,Texas,Toys,Board Games,1,29.0,6.02
O20284,2023-12-10,C1083,California,Electronics,Accessories,4,106.93,21.04
O20285,2024-02-26,C1189,Texas,Electronics,Laptop,2,2002.61,281.04
O20286,2024-03-20,C1380,California,Clothing,Pants,1,37.96,3.11
O20287,2024-05-07,C1444,Georgia,Beauty,Skincare,2,50.4,5.64
O20288,2024-05-16,C1058,California,Home,Kitchen,1,52.19,4.77
O20289,2024-11-16,C1308,Ohio,Toys,Action Figures,1,20.27,2.48
O20290,2023-02-01,C1458,California,Electronics,Laptop,2,1510.48,223.35
O20291,2023-03-09,C1395,Michigan,Beauty,Hair,2,39.49,9.55
O20292,2023-03-25,C1384,Ohio,Electronics,Phone,1,435.14,105.26
O20293,2023-04-14,C1290,California,Electronics,Phone,4,1716.2,349.96
O20294,2023-09-19,C1304,Ohio,Home,Furniture,2,463.4,114.01
O20295,2024-04-16,C1024,Florida,Clothing,Pants,3,122.87,30.67
O20296,2024-07-16,C1199,Ohio,Sports,Fitness,3,$220.06,49.96
O20297,2024-11-11,C1024,Florida,Electronics,Audio,1,136.64,9.0
O20298,2023-07-08,C1298,Pennsylvania,Sports,Outdoor,5,353.02,47.73
O20299,2023-07-12,C1094,Ohio,Home,Furniture,1,302.18,47.39
O20300,2023-09-20,C1293,New York,Home,Kitchen,1,84.49,6.32
O20301,2023-08-02,C1335,California,Electronics,Audio,4,449.76,95.23
O20302,2024-01-05,C1314,Georgia,Clothing,Jackets,4,235.18,18.75
O20303,2024-02-27,C1085,New York,Sports,Fitness,5,258.57,32.75
O20304,2024-07-08,C1095,Florida,Clothing,Jackets,5,370.19,23.61
O20305,2024-09-22,C1458,California,Home,Decor,5,156.78,24.29
O20306,2023-03-09,C1089,Florida,Sports,Accessories,5,150.12,25.43
O20307,2023-04-02,C1478,North Carolina,Clothing,Shirts,5,134.53,26.51
O20308,2023-04-27,C1234,Texas,Home,Kitchen,1,48.43,5.71
O20309,2023-05-25,C1102,New York,Toys,Puzzles,1,14.61,2.46
O20310,2024-10-12,C1435,Pennsylvania,Electronics,Laptop,3,2495.08,491.11
O20311,2023-07-08,C1219,Georgia,Electronics,Accessories,3,117.48,23.78
O20312,2023-08-09,C1490,Florida,Clothing,Jackets,2,126.84,13.99
O20313,2023-09-15,C1036,New York,Clothing,Shoes,1,53.17,3.38
O20314,2024-05-09,C1134,Michigan,Toys,Dolls,5,125.63,7.23
O20315,2024-06-08,C1381,Pennsylvania,Electronics,Accessories,2,53.23,10.84
O20316,2024-07-26,C1099,California,Sports,Outdoor,4,374.39,47.58
O20317,2024-04-12,C1244,California,Electronics,Laptop,1,762.32,58.54
O20318,2024-06-04,C1039,Florida,Home,Kitchen,3,155.27,13.49
O20319,2023-01-16,C1167,Texas,Home,Furniture,1,295.73,60.1
O20320,2023-01-09,C1057,Texas,Electronics,Phone,1,410.68,69.73
O20321,2023-04-03,C1489,Michigan,Electronics,Audio,1,$135.02,20.29
O20322,2023-04-06,C1332,California,Beauty,Skincare,1,27.96,4.88
O20323,2023-05-27,C1196,Ohio,Beauty,Hair,4,72.58,5.62
O20324,2024-04-11,C1213,Texas,Clothing,Shoes,3,166.29,18.93
O20325,2023-05-06,C1199,Ohio,Clothing,Jackets,1,66.55,8.31
O20326,2024-01-25,C1384,Ohio,Clothing,Jackets,4,363.54,41.04
O20327,2024-02-15,C1148,California,Electronics,Laptop,2,1836.74,409.38
O20328,2024-11-27,C1274,Florida,Toys,Action Figures,1,22.67,3.77
O20329,2024-03-24,C1400,California,Beauty,Makeup,4,164.7,32.26
O20330,2024-09-05,C1035,Georgia,Clothing,Shirts,5,135.14,13.15
O20331,2024-02-27,C1401,Michigan,Sports,Fitness,2,109.49,11.26
O20332,2023-02-08,C1340,Florida,Electronics,Audio,3,307.66,29.25
O20333,2023-08-25,C1479,Florida,Home,Kitchen,1,67.66,12.69
O20334,2024-01-27,C1036,New York,Clothing,Pants,1,40.33,4.83
O20335,2024-04-13,C1196,Ohio,Clothing,Shirts,4,109.76,14.38
O20336,2024-05-14,C1195,New York,Clothing,Shirts,3,74.0,14.19
O20337,2024-10-28,C1013,Texas,Clothing,Jackets,5,374.22,91.44
O20338,2023-02-05,C1328,Florida,Toys,Board Games,2,65.86,5.43
O20339,2024-02-02,C1262,California,Toys,Puzzles,3,33.34,2.08
O20340,2024-08-22,C1159,Ohio,Clothing,Pants,1,38.08,3.39
O20341,2023-06-01,C1168,California,Beauty,Makeup,4,141.4,27.85
O20342,2023-06-18,C1137,Pennsylvania,Clothing,Pants,5,206.26,18.34
O20343,2023-08-18,C1202,Texas,Toys,Action Figures,4,64.47,10.76
O20344,2023-09-08,C1144,Texas,Electronics,Accessories,2,48.72,8.19
O20345,2024-03-15,C1218,Pennsylvania,Electronics,Laptop,3,2540.77,276.65
O20346,2023-01-01,C1475,North Carolina,Clothing,Jackets,4,316.99,20.21
O20347,2024-04-13,C1419,Ohio,Home,Furniture,4,1233.26,160.13
O20348,2024-07-26,C1057,Texas,Home,Furniture,1,217.08,18.96
O20349,2023-10-17,C1155,Texas,Clothing,Jackets,4,296.33,25.75
O20350,2024-10-29,C1127,Georgia,Electronics,Audio,5,743.24,114.84
O20351,2023-02-06,C1482,Florida,Clothing,Shirts,3,86.97,16.06
O20352,2024-02-07,C1021,California,Toys,Dolls,2,41.65,2.71
O20353,2024-05-01,C1271,Georgia,Toys,Action Figures,4,88.11,14.6
O20354,2024-07-04,C1467,Georgia,Electronics,Audio,5,674.92,66.98
O20355,2023-02-08,C1475,North Carolina,Electronics,Phone,2,1029.36,190.08
O20356,2023-04-21,C1256,Michigan,Toys,Puzzles,5,61.8,13.1
O20357,2023-10-17,C1165,Georgia,Electronics,Laptop,4,3278.43,693.07
O20358,2024-04-03,C1040,California,Electronics,Audio,4,434.79,53.9
O20359,2024-08-31,C1201,California,Electronics,Accessories,3,97.14,15.88
